name,district,votenumber,party,age,occupation,education,page,oik,nat,lib,segment
Ahti Järvinen,11 Keski-Suomen vaalipiiri,102,Vasemmistoliitto,56,Metallimies,ammattitutkinto ,http://ehdokas.vasemmisto.fi/ahtijarvinen/,-1.3138482639,-0.9703360257,0.7802502893,Vasemmistoliberaalit
Petra Malin,01 Helsingin vaalipiiri,36,Vasemmistoliitto,34,sosiaalityöntekijä,korkeakoulututkinto ,http://www.petramalin.fi,-1.3122420785,-1.4338803056,0.7389453588,Vasemmistoliberaalit
Hannu Lehikoinen,07 Pirkanmaan vaalipiiri,147,Vasemmistoliitto,58,Opettaja,korkeakoulututkinto ,http://www.hlehikoinen.nettisivut.fi,-1.3045782914,-0.3171208681,0.5136242678,Vasemmistoliberaalit
Kaarina Kailo,12 Oulun vaalipiiri,137,Vasemmistoliitto,62,dosentti & tietokirjailija & kulttuuritutkija,korkeakoulututkinto ,http://www.kaarinakailo.info,-1.2995293051,-0.4440953615,0.8690903078,Vasemmistoliberaalit
Elisa Lientola,06 Hämeen vaalipiiri,25,Vasemmistoliitto,36,Kuvanveistäjä & Ammatillinen opettaja,korkeakoulututkinto ,http://www.elisalientola.fi,-1.2960916526,-1.325965032,0.8676043569,Vasemmistoliberaalit
Matti Vesa Volanen,11 Keski-Suomen vaalipiiri,111,Vasemmistoliitto,68,emeritus tutkija & PsT,korkeakoulututkinto ,http://ehdokas.vasemmisto.fi/mattivesavolanen/,-1.294023646,-0.9084377131,1.4094625879,Vasemmistoliberaalit
Ville Karinen,02 Uudenmaan vaalipiiri,167,Vasemmistoliitto,39,kirjastonhoitaja (johtava informaatikko),korkeakoulututkinto ,http://www.villekarinen.fi,-1.294023646,-0.9084377131,1.4094625879,Vasemmistoliberaalit
Mika Byman,08 Kaakkois-Suomen vaalipiiri,59,Vasemmistoliitto,34,Lähihoitaja,ammattitutkinto ,http://ehdokas.vasemmisto.fi/mikabyman,-1.2908909616,-0.9967685433,0.8483939251,Vasemmistoliberaalit
Risto Mykkänen,08 Kaakkois-Suomen vaalipiiri,65,Vasemmistoliitto,50,Kehitysvammaisten ohjaaja,ammattitutkinto ,http://ehdokas.vasemmisto.fi/ristomykkanen/,-1.2813888846,-0.2642266333,0.1655462721,Vasemmistoliberaalit
Erik Lydén,07 Pirkanmaan vaalipiiri,149,Vasemmistoliitto,35,Ensihoitaja,ammattitutkinto ,http://www.eriklyden.fi,-1.2813035314,-0.9821488821,0.8589403404,Vasemmistoliberaalit
Riitta Gyllenbögel,02 Uudenmaan vaalipiiri,161,Vasemmistoliitto,39,Säveltäjä & taiteilija & järjestötyöntekijä,korkeakoulututkinto ,http://ehdokas.vasemmisto.fi/riittagyllenbogel/,-1.279339151,-1.0358233883,0.6893297248,Vasemmistoliberaalit
Sannamari Sala,12 Oulun vaalipiiri,146,Vasemmistoliitto,47,Lastentarhanopettaja,korkeakoulututkinto ,http://www.ehdokas.vasemmisto.fi/sannamarisala,-1.2713168993,-0.78278123,0.460333269,Vasemmistoliberaalit
Sirpa Karjalainen,09 Savo-Karjalan vaalipiiri,130,Vasemmistoliitto,62,asukasisännöitsijä,ammattitutkinto ,http://sirpa.karjalainen.vasemmisto.fi,-1.2693922915,-0.8030220132,0.5613867997,Vasemmistoliberaalit
Tuomo Grundström,04 Satakunnan vaalipiiri,63,Vasemmistoliitto,62,Erityisopettaja,korkeakoulututkinto ,https://www.facebook.com/tuomo.grundstrom,-1.2683332523,-1.4240682007,-0.2788098611,Vasemmistoliberaalit
Seppo Karjalainen,12 Oulun vaalipiiri,140,Vasemmistoliitto,57,Työsuojeluvaltuutettu,ammattitutkinto ,http://www.seppokarjalainen.fi,-1.2575967094,-0.5247436447,0.4261500236,Vasemmistoliberaalit
