vaalipiiri;id;sukunimi;etunimi;puolue;ikä;sukupuoli;Ammatti;Koulutus;Talousoikeistolaisuus;Nationalismikonservatiivisuus;Arvoliberaalius;Segmentit
06 Hämeen vaalipiiri;4818;Wikström;Sirke;Vasemmistoliitto;49;F;koulunkäyntiavustaja;ammattitutkinto; ; ; ; 
13 Lapin vaalipiiri;4619;Yritys;Inkeri;Vasemmistoliitto;60;F;oikeusneuvoja;korkeakoulututkinto;-1,33068893600701;-,261084750070704;,815294186791242;3
03 Varsinais-Suomen vaalipiiri;4147;Yrttiaho;Johannes;Vasemmistoliitto;35;M;Tiedottaja, FM, tohtoikoulutettava;korkeakoulututkinto;-1,79964259812122;-,587436423655724;,335133627899559;3
12 Oulun vaalipiiri;5750;Aalto;Esa;Vihreä liitto;32;M;Biologi (FT);korkeakoulututkinto;,851103568072248;-1,00377023380062;,915105602672722;4
11 Keski-Suomen vaalipiiri;5630;Aalto;Touko;Vihreä liitto;30;M;Kansanedustajan avustaja;korkeakoulututkinto;-,1265544841019;-,905389114652134;1,5080397418205;4
08 Kaakkois-Suomen vaalipiiri;4333;Aalto-Partanen;Annika;Vihreä liitto;36;F;FM Meribiologi;korkeakoulututkinto;,346375412609717;,0284736202494177;,627521372217784;4
10 Vaasan vaalipiiri;5713;Ala-Kokko;Laura;Vihreä liitto;35;F;Myyjä, kääntäjä;korkeakoulututkinto;-,660165287641286;-1,40589742243149;1,26366048412912;4
01 Helsingin vaalipiiri;5635;Alametsä;Alviina;Vihreä liitto;22;F;Kaupunkivastaava, HYYn hallituksen jäsen;korkeakoulututkinto;-,520549808572855;-1,45289355804266;1,79155278032128;4
01 Helsingin vaalipiiri;5541;Alanko-Kahiluoto;Outi;Vihreä liitto;48;F;Kansanedustaja, kirjallisuudentutkija (FT);korkeakoulututkinto;-1,40512575434076;-1,37697872201063;,824523974629883;3
10 Vaasan vaalipiiri;5707;Alhonnoro;Lotta;Vihreä liitto;30;F;Yliopiston tutkija;korkeakoulututkinto;,458513239113955;-,927157473934724;1,11495831390942;4
08 Kaakkois-Suomen vaalipiiri;4927;Andrejev;Katja;Vihreä liitto;34;F;liiketalouden opettaja;korkeakoulututkinto;-,396715592467704;-,267662588529415;-,468951274081993;5
09 Savo-Karjalan vaalipiiri;5615;Auvinen;Harri;Vihreä liitto;40;M;Teknologiapäällikkö;korkeakoulututkinto;,104968964218907;-,326183387513959;,131515552119046;1
03 Varsinais-Suomen vaalipiiri;5926;Bland;Anne;Vihreä liitto;0;F; ; ; ; ; ; 
02 Uudenmaan vaalipiiri;4249;Bulut;Emil;Vihreä liitto;21;M;Ammattikorkeakouluopiskelija;ylioppilas;,45100891341733;-1,52531541330825;1,52498955805717;4
02 Uudenmaan vaalipiiri;5141;Chanth;Tatu;Vihreä liitto;37;M;järjestelmäasiantuntija;ammattitutkinto;-,631104712660457;-1,39672535095726;1,42872046450918;4
02 Uudenmaan vaalipiiri;5603;Drake;Markus;Vihreä liitto;38;M;Tiedottaja kehitysyhteistyöjärjestöjen kattojärjestössä;korkeakoulututkinto;-,630056697732302;-1,27012867326787;1,14570110940278;4
02 Uudenmaan vaalipiiri;4584;Elo;Tiina;Vihreä liitto;44;F;MMM, ympäristöasiantuntija;korkeakoulututkinto;,13458234749626;-1,00203475616234;,147848700160157;4
12 Oulun vaalipiiri;4541;Flöjt;Mika;Vihreä liitto;40;M;väitöskirjatutkija, asiantuntija/kirjailija, jatko-opiskelija;korkeakoulututkinto;,132060170859605;,0895569189378349;-,410105958484391;1
